module_accession	completeness	pathway_name
M00016	22.22	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
M00119	22.22	Pantothenate biosynthesis, valine/L-aspartate => pantothenate
M00525	22.22	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine
M00029	20.0	Urea cycle
M00033	20.0	Ectoine biosynthesis, aspartate => ectoine
M00059	20.0	Glycosaminoglycan biosynthesis, heparan sulfate backbone
M00115	20.0	NAD biosynthesis, aspartate => quinolinate => NAD
M00552	20.0	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P
M00573	20.0	Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin
M00577	20.0	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin
M00953	20.0	Mugineic acid biosynthesis, methionine => 3-epihydroxymugineic acid
M00023	16.67	Tryptophan biosynthesis, chorismate => tryptophan
M00176	16.67	Assimilatory sulfate reduction, sulfate => H2S
M00572	16.67	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP
M00609	16.67	Cysteine biosynthesis, methionine => cysteine
M00622	16.67	Nicotinate degradation, nicotinate => fumarate
M00793	16.67	dTDP-L-rhamnose biosynthesis
M00874	16.67	Fatty acid biosynthesis in mitochondria, fungi
M00892	16.67	UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc
M00935	16.67	Methanofuran biosynthesis
M00958	16.67	Adenine ribonucleotide degradation, AMP => Urate
M00038	14.29	Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate
M00171	14.29	C4-dicarboxylic acid cycle, NAD - malic enzyme type
M00375	14.29	Hydroxypropionate-hydroxybutylate cycle
M00377	14.29	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
M00982	14.29	Methylcitrate cycle
M00114	12.5	Ascorbate biosynthesis, plants, fructose-6P => ascorbate
M00308	12.5	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P
M00376	11.11	3-Hydroxypropionate bi-cycle
M00126	10.0	Tetrahydrofolate biosynthesis, GTP => THF
M00740	9.09	Methylaspartate cycle
M00055	7.69	N-glycan precursor biosynthesis
M00117	5.56	Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol
M00925	3.03	Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide
