module_accession	completeness	pathway_name
M00308	25.0	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P
M00358	25.0	Coenzyme M biosynthesis
M00596	25.0	Dissimilatory sulfate reduction, sulfate => H2S
M00633	25.0	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P
M00888	25.0	Galactofuranan biosynthesis, decaprenyl phosphate + UDP-GlcNAc (+ dTDP-Rha/UDP-Galf) => GL-5
M00921	25.0	Cyclooctatin biosynthesis, dimethylallyl-PP + isopentenyl-PP => cyclooctatin
M00950	25.0	Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin
M00959	25.0	Guanine ribonucleotide degradation, GMP => Urate
M00975	25.0	Betaine degradation, bacteria, betaine => pyruvate
M00016	22.22	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
M00119	22.22	Pantothenate biosynthesis, valine/L-aspartate => pantothenate
M00525	22.22	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine
M00033	20.0	Ectoine biosynthesis, aspartate => ectoine
M00059	20.0	Glycosaminoglycan biosynthesis, heparan sulfate backbone
M00552	20.0	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P
M00573	20.0	Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin
M00577	20.0	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin
M00953	20.0	Mugineic acid biosynthesis, methionine => 3-epihydroxymugineic acid
M00911	18.18	Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD
M00023	16.67	Tryptophan biosynthesis, chorismate => tryptophan
M00176	16.67	Assimilatory sulfate reduction, sulfate => H2S
M00432	16.67	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate
M00535	16.67	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate
M00572	16.67	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP
M00622	16.67	Nicotinate degradation, nicotinate => fumarate
M00840	16.67	Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF
M00874	16.67	Fatty acid biosynthesis in mitochondria, fungi
M00892	16.67	UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc
M00935	16.67	Methanofuran biosynthesis
M00014	14.29	Glucuronate pathway (uronate pathway)
M00038	14.29	Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate
M00171	14.29	C4-dicarboxylic acid cycle, NAD - malic enzyme type
M00375	14.29	Hydroxypropionate-hydroxybutylate cycle
M00835	14.29	Pyocyanine biosynthesis, chorismate => pyocyanine
M00982	14.29	Methylcitrate cycle
M00028	12.5	Ornithine biosynthesis, glutamate => ornithine
M00114	12.5	Ascorbate biosynthesis, plants, fructose-6P => ascorbate
M00897	12.5	Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP
M00376	11.11	3-Hydroxypropionate bi-cycle
M00121	10.0	Heme biosynthesis, plants and bacteria, glutamate => heme
M00126	10.0	Tetrahydrofolate biosynthesis, GTP => THF
M00055	7.69	N-glycan precursor biosynthesis
M00569	6.67	Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA
M00117	5.56	Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol
M00356	3.33	Methanogenesis, methanol => methane
M00925	3.03	Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide
M00563	2.5	Methanogenesis, methylamine/dimethylamine/trimethylamine => methane
M00357	2.0	Methanogenesis, acetate => methane
M00567	1.25	Methanogenesis, CO2 => methane
