module_accession	completeness	pathway_name
M00552	20.0	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P
M00573	20.0	Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin
M00577	20.0	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin
M00953	20.0	Mugineic acid biosynthesis, methionine => 3-epihydroxymugineic acid
M00122	16.67	Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin
M00526	16.67	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine
M00609	16.67	Cysteine biosynthesis, methionine => cysteine
M00622	16.67	Nicotinate degradation, nicotinate => fumarate
M00892	16.67	UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc
M00935	16.67	Methanofuran biosynthesis
M00171	14.29	C4-dicarboxylic acid cycle, NAD - malic enzyme type
M00375	14.29	Hydroxypropionate-hydroxybutylate cycle
M00527	14.29	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine
M00845	14.29	Arginine biosynthesis, glutamate => acetylcitrulline => arginine
M00009	12.5	Citrate cycle (TCA cycle, Krebs cycle)
M00028	12.5	Ornithine biosynthesis, glutamate => ornithine
M00114	12.5	Ascorbate biosynthesis, plants, fructose-6P => ascorbate
M00308	12.5	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P
M00897	12.5	Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP
M00016	11.11	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
M00376	11.11	3-Hydroxypropionate bi-cycle
M00525	11.11	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine
M00740	9.09	Methylaspartate cycle
M00117	5.56	Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol
