module_accession	completeness	pathway_name
M00017	14.29	Methionine biosynthesis, aspartate => homoserine => methionine
M00038	14.29	Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate
M00375	14.29	Hydroxypropionate-hydroxybutylate cycle
M00009	12.5	Citrate cycle (TCA cycle, Krebs cycle)
M00114	12.5	Ascorbate biosynthesis, plants, fructose-6P => ascorbate
M00308	12.5	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P
M00897	12.5	Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP
M00376	11.11	3-Hydroxypropionate bi-cycle
M00126	10.0	Tetrahydrofolate biosynthesis, GTP => THF
M00055	7.69	N-glycan precursor biosynthesis
M00117	5.56	Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol
