module_accession,completeness,pathway_name,pathway_class,matching_ko,missing_ko,sample
M00849,50.0,"C5 isoprenoid biosynthesis, mevalonate pathway, archaea",Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis,"K00021,K00869,K03186,K06981,K09128,K25517,K25518","K00626,K01641,K01823",Oleococcus
M00855,50.0,"Glycogen degradation, glycogen => glucose-6P",Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism,"K00688,K22451","K02438,K15779",Oleococcus
M00896,50.0,"Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP",Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,"K00788,K00941,K00946,K03147",K22699,Oleococcus
M00165,45.45,Reductive pentose phosphate cycle (Calvin cycle),Pathway modules; Energy metabolism; Carbon fixation,"K00150,K00927,K01601,K01803,K01807","K00615,K00855,K01100,K01623,K01783,K03841",Oleococcus
M00346,44.44,"Formaldehyde assimilation, serine pathway",Pathway modules; Energy metabolism; Methane metabolism,"K00600,K01595,K01689,K11529","K00018,K00024,K00830,K08691,K08692,K14067",Oleococcus
M00011,40.0,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,"K00174,K00175,K00176,K00177,K01677,K01678","K00026,K00234,K00235,K00236,K00237,K01902,K01903",Oleococcus
M00018,40.0,"Threonine biosynthesis, aspartate => homoserine => threonine",Pathway modules; Amino acid metabolism; Serine and threonine metabolism,"K00003,K01733","K00133,K00872,K00928",Oleococcus
M00029,40.0,Urea cycle,Pathway modules; Amino acid metabolism; Arginine and proline metabolism,"K00611,K01476","K01755,K01940,K01948",Oleococcus
M00173,40.0,Reductive citrate cycle (Arnon-Buchanan cycle),Pathway modules; Energy metabolism; Carbon fixation,"K00169,K00170,K00171,K00172,K00174,K00175,K00176,K00177,K01007,K01595,K01677,K01678","K00024,K00031,K00239,K00240,K01681,K01902,K01903,K15230,K15231",Oleococcus
M00909,40.0,"UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc",Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism,"K00820,K03431","K00845,K01810,K04042",Oleococcus
M00912,37.5,"NAD biosynthesis, tryptophan => quinolinate => NAD",Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,"K00767,K01916,K07130","K00452,K00453,K00486,K00969,K01556",Oleococcus
M00532,36.11,Photorespiration,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism,"K00600,K00605,K01601,K02437","K00281,K00382,K00830,K03781,K11517,K14272,K15893,K15918,K19269",Oleococcus
M00123,33.33,"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin",Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,K00652,"K00833,K01012,K01935",Oleococcus
M00140,33.33,"C1-unit interconversion, prokaryotes",Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,K00600,"K01491,K01938",Oleococcus
M00309,33.33,"Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate",Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,K03738,"K05308,K11395",Oleococcus
M00345,33.33,"Formaldehyde assimilation, ribulose monophosphate pathway",Pathway modules; Energy metabolism; Methane metabolism,"K08093,K08094","K00850,K01624",Oleococcus
M00368,33.33,"Ethylene biosynthesis, methionine => ethylene",Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism,K00789,"K01762,K05933",Oleococcus
M00373,33.33,Ethylmalonyl pathway,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism,"K01847,K05606","K00023,K00626,K01965,K01966,K08691,K14446,K14447,K14448,K14449,K14451,K17865",Oleococcus
M00565,33.33,"Trehalose biosynthesis, D-glucose 1P => trehalose",Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism,"K00703,K16149","K00975,K01214,K01236,K06044",Oleococcus
M00627,33.33,"beta-Lactam resistance, Bla system",Signature modules; Gene set; Drug resistance,K02171,"K02172,K18766",Oleococcus
M00842,33.33,"Tetrahydrobiopterin biosynthesis, GTP => BH4",Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,K01737,"K00072,K01495",Oleococcus
M00843,33.33,"L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4",Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,K01737,"K01495,K17745",Oleococcus
M00844,33.33,"Arginine biosynthesis, ornithine => arginine",Pathway modules; Amino acid metabolism; Arginine and proline metabolism,K00611,"K01755,K01940",Oleococcus
M00913,33.33,"Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate",Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,"K00077,K00606","K00128,K01918,K13367",Oleococcus
M00978,33.33,Ornithine-ammonia cycle,Pathway modules; Amino acid metabolism; Arginine and proline metabolism,"K00611,K01915","K01755,K01940,K01955,K01956,K27542",Oleococcus
M00374,30.77,Dicarboxylate-hydroxybutyrate cycle,Pathway modules; Energy metabolism; Carbon fixation,"K00169,K00170,K00171,K00172,K01007,K01595,K01677,K01678","K00024,K00239,K00240,K00626,K01902,K01903,K14465,K14467,K14534,K15016,K15038",Oleococcus
M00095,28.57,"C5 isoprenoid biosynthesis, mevalonate pathway",Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis,"K00021,K00869","K00626,K00938,K01597,K01641,K01823",Oleococcus
M00004,25.0,Pentose phosphate pathway (Pentose phosphate cycle),Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,"K01807,K06859","K00033,K00615,K00616,K01783,K13937",Oleococcus
M00007,25.0,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,K01807,"K00615,K00616,K01783",Oleococcus
M00009,25.0,"Citrate cycle (TCA cycle, Krebs cycle)",Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,"K00174,K00175,K00176,K00177,K01677,K01678","K00026,K00031,K00234,K00235,K00236,K00237,K01647,K01681,K01902,K01903",Oleococcus
M00083,25.0,"Fatty acid biosynthesis, elongation",Pathway modules; Lipid metabolism; Fatty acid metabolism,K00059,"K00208,K00647,K02372",Oleococcus
M00170,25.0,"C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type",Pathway modules; Energy metabolism; Carbon fixation,K01595,"K01610,K14454,K14455",Oleococcus
